kab_kota,n_odp,n_pdp,n_pos_pcr,n_pos_rdt,n_meninggal,n_sembuh,last_update
Kota Medan,739,62,59,9,7,7,2020-04-16 18:09:18.309162
Kota Pematang Siantar,4,11,2,4,0,1,2020-04-16 18:09:18.309162
Kota Tanjung Balai,1,1,0,0,0,0,2020-04-16 18:09:18.309162
Kota Binjai,297,2,1,0,0,1,2020-04-16 18:09:18.309162
Kota Tebing Tinggi,593,6,0,0,0,0,2020-04-16 18:09:18.309162
Kota Sibolga,13,0,0,0,0,0,2020-04-16 18:09:18.309162
Kota Padang Sidimpuan,4,1,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Deli Serdang,37,16,8,0,2,2,2020-04-16 18:09:18.309162
Kabupaten Langkat,8,1,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Karo,1,1,1,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Simalungun,30,22,2,10,0,0,2020-04-16 18:09:18.309162
Kabupaten Asahan,67,2,3,0,1,0,2020-04-16 18:09:18.309162
Kabupaten Labuhan Batu,1,1,1,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Tapanuli Utara,30,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Tapanuli Tengah,umlah ODP:42,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Tapanuli Selatan,2,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Nias,2,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Dairi,33,1,1,1,0,1,2020-04-16 18:09:18.309162
Kabupaten Toba Samosir,13,1,1,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Mandailing Natal,5,2,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Nias Selatan,5,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Pakpak Bharat,49,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Humbang Hasundutan,6,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Samosir,1,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Serdang Bedagai,157,4,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Batu Bara,95,1,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Padang Lawas,20,2,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Padang Lawas Utara,0,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Labuhan Batu Utara,16,2,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Labuhan Batu Selatan,10,0,0,0,0,0,2020-04-16 18:09:18.309162
Kota Gunung Sitoli,16,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Nias Utara,1,0,0,0,0,0,2020-04-16 18:09:18.309162
Kabupaten Nias Barat,4,0,0,0,0,0,2020-04-16 18:09:18.309162
